firstname,lastname,avg_rating
Steven,Culpepper,2
Adam,Bowen,3.5
Sergio,Yona,5
Dale,Harlingen,5
Jennifer,Follis,3.25
Natalie,Havlin,3
Matthew,DeSieno,1
Eric,Johnson,5
Steven,Ashby,3.5
Dianne,Noland,4.25
Ibrahim,Odeh,2.5
Abel,Ramirez,4.6667
Adam,Brandt,2
Sang,Oh,1
Dawn,Bohn,3.7059
Stephanie,Clark,2
Takeharu,Sogo,3.6667
Daniel,Pack,2.7778
Kaitlin,Marks-Dubbs,4
Brian,Enders,5
Joanna,Austin,3.75
Robert,McChesney,2.1667
Julia,Shapland,3.5556
Brent,Young,4.25
Oleksii,Aksimentiev,1
Imelda,Moise,4
Eurydice,Bauer,1
Jose,Mestre,3.5
Fred,Gottheil,2.593
Matthew,Brown,4.6667
Rachel,Harris,3
Antoinette,Burton,3
Barry,Mink,4.1429
Alicia,Kozma,5
Thomas,Overbye,5
Hao,Feng,5
Katherine,Baylis,4
Sarita,Adve,4.5
Michael,Lim,1
A.,Endres,5
Raffi,Budakian,3.5
H.,Gaskins,5
Bryan,Dunne,4.4545
Shawna,Naidu,5
Adel,Ibrahim,3
Alexis,Tate,1
Steven,Petruzzello,4.5
Sandra,Kopels,5
Peter,Loeb,1.5
Kristen,Davis,4
Benjamin,Slade,2
Nitin,Vaidya,3
Jill,Craft,5
Robert,Rauber,4.25
Nancy,Sottos,5
Brian,Gonsalves,3
Max,Somers,4
Ying,Li,4.6667
Faith,Stein,3
Richard,Brazee,3.5
Randall,Dills,3
Charissa,Lansing,5
Deepthi,Nandakumar,1
Joshua,Lynch,1
Stephanie,Foote,4.4
Minh,Do,5
June,Huh,5
Serge,Minin,3.75
Jason,Chambers,3.6667
Kevin,Waspi,2.8333
Lori,Kendall,3
Somnath,Roy,1
Mendiola-Sanchez,,5
Kil,Kim,3
Hamood,Arham,5
Joanna,Osterhout,1
F.,Simmons,4.5385
Gerald,Walter,5
Ryan,Bean,2
Anne,Baranger,2
Lara,Waldrop,4
Valeria,Sobol,3
Matthew,Winters,2
Gang,Liu,1.6667
Chae,Yoon,4
Anna,Dilger,5
Jodi,Flaws,5
Alejandro,Lleras,4.5
Amanda,Wisdom,4
Daniel,Bodony,3.5
Allison,Earl,4.75
J.,Giertz,3
John,Braden,3.6667
Dennis,O'Dea,3
Scott,Ahlgren,3.625
Sylvia,Ogilvie,3
Alan,Mette,4
Ariana,Traill,4.25
Yevgeniya,Funk,3.5
Robert,Hughes,4
Masooda,Bashir,1
Cassandra,Rosado,5
Paul,Magelli,5
George,Boone,4
Hayri,Onal,5
David,Bullock,2.5
Timothy,McCarthy,4
Andrew,Millard,4
Jeffrey,Loewenstein,5
Kevin,Raschen,5
Annie,Kelvie,2
Kim,Whittlesey,4.0556
Justine,Karduck,4
Allison,Scott,5
Ting,Lu,2.3333
Megan,Bolander,5
Daniel,Work,4
Mimi,Nguyen,3.5
John,Vasquez,3.2
Bruce,Smith,4
Chengxiang,Zhai,5
May,Berenbaum,5
Johnell,Bentz,4.5833
Denise,Cummins,4
James,Lisy,3
Yi-Shuan,Chen,5
Steven,Zusman,5
Amy,Norgard,5
Karen,Roybal,5
Anil,Hirani,3
David,Strauser,1
Ryan,Tomasiewicz,4
Joseph,Finnerty,2.3333
Steven,Lumetta,4.75
Dora,Valkanova,3
Werner,Baer,3.6739
John,Kindt,3.7
Israel,E.,4
Sarah,Haas,5
Megan,Haselschwerdt,5
Jessie,Johnson,5
Kent,Ono,4
James,Jackson,2
Margaret,Stanny,5
Daniel,Colson,1
Rachel,Mitchell,2.6667
Daniel,Holder,5
Ruth,Brown,2
Kelly,Tappenden,5
Olgica,Milenkovic,4
Maria,Spies,3
Thomas,Gambill,3.5909
Jacob,Hall,2
Amy,Nicely,2.6667
Engelbrecht-Wiggans,,3
Thomas,Hummel,3.7344
Carl,Malmgren,2.5
Donna,Buchanan,3.2
Ashleigh,Jones,4
Brian,Walters,4
Mary,Cottingham,4
Pramod,Viswanath,5
Rebecca,Stumpf,5
Noel,Chang,4.5
Leslie,Looney,4.75
M.,Spies,2.6
Isaac,DiIanni,2.5
Ottlik,,3
Katherine,Wahl,5
Marsha,Woodbury,4
Witat,Fakcharoenphol,2.5
Amita,Sinha,2.5
Mariana,Sohn,5
Peter,Goldsmith,3.75
Donald,Hardin,2.75
Marco,Rocha,3
Lisa,Oliverio,5
Margaret,Njeru,4.2857
Julia,Smith,3
Michele,Koven,5
Jibo,He,3
Xiaoling,Chen,4
Liang,Liu,5
Alison,Lanski,4.1667
Lane,Martin,3.5
Zachary,Carrettin,5
Bryan,Mount,3
John,Walsh,4.6667
Adam,Poetzel,5
Sylvia,Enyart,3
Zack,Browning,3.5
Ruopeng,An,5
John,Ramsbottom,3.5
Wade,Fagen,2.5
Martinez-Quiroga,,5
Megan,Kosovski,5
Alice,Novak,3.5714
Patricia,Morey,2
Timothy,Green,4
Lisa,Crane,4.5
Diana,Grigsby,2
Julia,Hockenmaier,3
Paul,Duncum,5
Lina,Deng,5
Lawrence,Hamlin,3.8
Maria,Anderson,3
Justin,Rhodes,3
Weidenbenner,,3.6667
Jeremy,Rouse,5
Vyron,Vellis,3
Gaston,Philipps,4
Matthew,Minicucci,5
Merton,Lee,3
Steven,Wagner,3
Hassan,Arvin-Rad,2.7333
Timothy,Trick,3.4
Todd,Cole,4.2
Wen-Tso,Liu,1.5
Sandra,Lee,5
Deschenes,Pradet,5
Alok,Tiwari,4
Joe,Bradley,5
Jianhua,Zhang,3.5
Robert,Haber,3
Sean,Mullen,4
David,Chih,5
Ryan,Greene,4.5
Ryan,Bailey,4
Milan,Svolik,4.5
Hyun,Kong,3.4
Lynn,Morris,1
Jason,Sneed,3
Harry,Dankowicz,5
Christopher,Schmitz,5
Sara,McWhorter,2
Jonathan,Beever,3.5
Chera,LaForge,5
Florin,Boca,1.6
Murugesu,Sivapalan,2.1667
Mark,Berchman,4
Narayana,Aluru,3
Eric,Meyer,1
Joseph,Squier,5
Jeffrey,Frame,3.7647
Vyacheslav,Fos,3
Anthony,Coats,5
Robin,Estabrook,4
Lauren,VanNatta,3
Felipe,Cardoso,5
Timothy,Peck,5
Irene,Small,4.5
Jayme,Liggett,5
Bavwidinsi,Bawawana,3
Sharon,Morrisette,4
Richard,Gates,3.3333
Roy,Axford,5
Maria,Garzaran,2.2
Anja,Bankovic,1
John,Abelson,4
Terri,Weissman,2.25
Milton,Feng,3.6667
Thomas,Costello,4.5
Jung,Lee,4
Glenn,Roisman,4.5
Jerome,Packard,4.5
Tanya,Kozlowski,5
Tangul,Basar,3.8333
Ozlem,Arikan,2
Neil,Kelleher,2
Yinxiao,Huang,2.8333
Douglas,Olenik,2
Austin,Basye,5
Vernon,Jones,4
Eileen,Lagman,5
Charles,Gammie,3
Yih-Chun,Hu,3.2143
Katherine,Graham,5
In-Koo,Cho,1
Joseph,Cheng,1
Daniel,Wasserman,3
Steven,Hill,3.5
Dana,Dlott,3
Prasanta,Kalita,5
Patryk,Szuta,4
Scott,Olson,3.3333
Philip,Hillmer,4.4
Shannan,Stewart,4.375
Lauren,Weiner,5
Charles,Miller,2.5
Cascajar-Montero,,4.5
Lena,Hann,4
Igor,Nikolaev,3.3333
Daniel,Walsh,4
Ronald,Kovatch,4
Anton,Malkin,1
Scott,Carney,4
Jeremy,Wear,5
John,Colombo,5
John,Alsterda,5
Jon,Solomon,4.6786
Harry,Liebersohn,4
Surya,Vanka,4
Eileen,Herrstrom,3.2857
Stewart,Hicks,2.5
Jonathan,Ebel,2.8571
Brendan,Harley,4.5
Raul,Mora,4
Kristina,Riedel,1
Roya,Khatiblou,5
Daniel,Simons,4.5
Ellen,Moodie,3
Leslie,Gasser,4
Wei,Zhu,4
Jennifer,Nelson,4
Urvi,Neelakantan,5
Patricia,Gill,3.75
Bruce,Carpenter,3.75
Nicholas,Paulson,4.8
Min-Feng,Yu,4.3333
Janice,Juraska,2.4
David,Wright,5
Laura,Chinchilla,5
Kevin,Erickson,4
Gwendolen,Rudy,3.5
